0 2 [0, 1]x[0, 1]x[0, 0]
1 1 [0, 1]x[0, 0]x[0, 1]
2 0 [0, 0]x[0, 1]x[0, 1]
3 -1  [0, 1]x[0, 1]x[0, 1]
4 0 [1, 1]x[0, 1]x[0, 1]
5 1 [0, 1]x[1, 1]x[0, 1]
6 2 [0, 1]x[0, 1]x[1, 1]
7 2 [1, 2]x[0, 1]x[0, 0]
8 1 [1, 2]x[0, 0]x[0, 1]
9 -1  [1, 2]x[0, 1]x[0, 1]
10 0 [2, 2]x[0, 1]x[0, 1]
11 1 [1, 2]x[1, 1]x[0, 1]
12 2 [1, 2]x[0, 1]x[1, 1]
13 2 [2, 3]x[0, 1]x[0, 0]
14 1 [2, 3]x[0, 0]x[0, 1]
15 -1  [2, 3]x[0, 1]x[0, 1]
16 0 [3, 3]x[0, 1]x[0, 1]
17 1 [2, 3]x[1, 1]x[0, 1]
18 2 [2, 3]x[0, 1]x[1, 1]
19 2 [3, 4]x[0, 1]x[0, 0]
20 1 [3, 4]x[0, 0]x[0, 1]
21 -1  [3, 4]x[0, 1]x[0, 1]
22 0 [4, 4]x[0, 1]x[0, 1]
23 1 [3, 4]x[1, 1]x[0, 1]
24 2 [3, 4]x[0, 1]x[1, 1]
25 2 [0, 1]x[1, 2]x[0, 0]
26 0 [0, 0]x[1, 2]x[0, 1]
27 -1  [0, 1]x[1, 2]x[0, 1]
28 0 [1, 1]x[1, 2]x[0, 1]
29 1 [0, 1]x[2, 2]x[0, 1]
30 2 [0, 1]x[1, 2]x[1, 1]
31 2 [1, 2]x[1, 2]x[0, 0]
32 -1  [1, 2]x[1, 2]x[0, 1]
33 0 [2, 2]x[1, 2]x[0, 1]
34 1 [1, 2]x[2, 2]x[0, 1]
35 2 [1, 2]x[1, 2]x[1, 1]
36 2 [2, 3]x[1, 2]x[0, 0]
37 -1  [2, 3]x[1, 2]x[0, 1]
38 0 [3, 3]x[1, 2]x[0, 1]
39 1 [2, 3]x[2, 2]x[0, 1]
40 2 [2, 3]x[1, 2]x[1, 1]
41 2 [3, 4]x[1, 2]x[0, 0]
42 -1  [3, 4]x[1, 2]x[0, 1]
43 0 [4, 4]x[1, 2]x[0, 1]
44 1 [3, 4]x[2, 2]x[0, 1]
45 2 [3, 4]x[1, 2]x[1, 1]
46 1 [0, 1]x[0, 0]x[1, 2]
47 0 [0, 0]x[0, 1]x[1, 2]
48 -1  [0, 1]x[0, 1]x[1, 2]
49 0 [1, 1]x[0, 1]x[1, 2]
50 1 [0, 1]x[1, 1]x[1, 2]
51 2 [0, 1]x[0, 1]x[2, 2]
52 1 [1, 2]x[0, 0]x[1, 2]
53 -1  [1, 2]x[0, 1]x[1, 2]
54 0 [2, 2]x[0, 1]x[1, 2]
55 1 [1, 2]x[1, 1]x[1, 2]
56 2 [1, 2]x[0, 1]x[2, 2]
57 1 [2, 3]x[0, 0]x[1, 2]
58 -1  [2, 3]x[0, 1]x[1, 2]
59 0 [3, 3]x[0, 1]x[1, 2]
60 1 [2, 3]x[1, 1]x[1, 2]
61 2 [2, 3]x[0, 1]x[2, 2]
62 1 [3, 4]x[0, 0]x[1, 2]
63 -1  [3, 4]x[0, 1]x[1, 2]
64 0 [4, 4]x[0, 1]x[1, 2]
65 1 [3, 4]x[1, 1]x[1, 2]
66 2 [3, 4]x[0, 1]x[2, 2]
67 0 [0, 0]x[1, 2]x[1, 2]
68 -1  [0, 1]x[1, 2]x[1, 2]
69 0 [1, 1]x[1, 2]x[1, 2]
70 1 [0, 1]x[2, 2]x[1, 2]
71 2 [0, 1]x[1, 2]x[2, 2]
72 -1  [1, 2]x[1, 2]x[1, 2]
73 0 [2, 2]x[1, 2]x[1, 2]
74 1 [1, 2]x[2, 2]x[1, 2]
75 2 [1, 2]x[1, 2]x[2, 2]
76 -1  [2, 3]x[1, 2]x[1, 2]
77 0 [3, 3]x[1, 2]x[1, 2]
78 1 [2, 3]x[2, 2]x[1, 2]
79 2 [2, 3]x[1, 2]x[2, 2]
80 -1  [3, 4]x[1, 2]x[1, 2]
81 0 [4, 4]x[1, 2]x[1, 2]
82 1 [3, 4]x[2, 2]x[1, 2]
83 2 [3, 4]x[1, 2]x[2, 2]
